,condition,odometer,mmr,sellingprice,using_time
190139,4.4,27181.0,11100,11100,1
541063,3.0,272578.0,3850,2900,14
451166,1.9,111290.0,7900,6400,6
220685,3.5,70697.0,14650,15700,4
259772,3.8,17420.0,19000,19050,2
515861,4.5,9141.0,14950,15800,1
40514,3.9,117921.0,4075,5200,11
285955,5.0,1564.0,11900,10900,1
197849,2.7,105947.0,11750,11700,4
87352,1.9,87156.0,6125,6700,12
453928,3.7,104735.0,14850,16600,6
151045,4.4,28729.0,18600,19600,3
157687,3.5,33350.0,17200,15900,1
302844,3.6,50369.0,16450,16500,2
208196,3.6,53430.0,20800,20900,3
400539,3.1,137723.0,1625,3900,15
162240,2.3,73548.0,23900,23900,7
184121,2.0,117441.0,3100,1700,9
262376,2.0,30595.0,14050,11600,1
119229,4.2,38767.0,37000,39800,3
4082,4.5,24442.0,28300,28900,1
81976,2.1,104763.0,6650,4300,8
389065,4.2,75466.0,13100,13200,2
54665,4.1,53129.0,34500,37250,3
58701,3.9,165063.0,5925,7000,9
182609,,92721.0,4950,5000,5
488992,3.0,23074.0,13250,12900,1
69919,2.6,30857.0,10050,9750,3
423074,3.3,14822.0,18450,18100,2
546469,3.9,87627.0,5500,6200,7
61703,2.8,50212.0,16600,15500,4
125,4.7,4859.0,27200,26750,1
89259,2.8,92047.0,8800,10200,4
34904,4.3,2318.0,11450,11000,1
547685,3.5,20523.0,11750,11250,4
543151,2.8,39700.0,13350,13700,1
512383,4.4,26048.0,19200,18500,2
239191,4.4,2990.0,15450,16100,1
108206,4.1,55649.0,16000,19300,1
550258,1.9,158817.0,3125,2000,12
235770,,117437.0,1225,1500,13
284259,4.3,27633.0,14400,15000,2
519815,3.9,71386.0,2400,4500,14
233497,4.8,44170.0,7250,8300,4
125596,3.9,35004.0,23900,25900,4
250437,4.0,20367.0,18450,18500,1
274150,4.0,34390.0,8525,9800,3
445598,3.6,142592.0,3800,4100,15
305162,2.8,170199.0,5575,5600,6
438842,3.7,31922.0,15800,15900,2
520972,3.2,48523.0,34900,34000,3
449809,,86721.0,7675,8400,6
408002,2.6,29470.0,13200,11200,3
457148,4.5,27873.0,28300,31000,3
130168,4.5,15632.0,12050,12700,2
434008,2.4,139169.0,2875,3700,13
43458,4.6,10543.0,38200,39500,3
321931,4.6,17473.0,13250,14300,2
